Country or Area,Year,Value
Greece,2011,116179.1232
Greece,2010,119159.9518
Greece,2009,125261.3885
Greece,2008,132481.9425
Greece,2007,135855.3911
Greece,2006,133270.7078
Greece,2005,136748.1391
Greece,2004,132215.0735
Greece,2003,131569.0029
Greece,2002,127719.1734
Greece,2001,127731.0279
Greece,2000,126659.4544
Greece,1999,122985.875
Greece,1998,122993.7333
Greece,1997,117470.4628
Greece,1996,112615.8428
Greece,1995,109581.1243
Greece,1994,107457.5776
Greece,1993,104828.0255
Greece,1992,105287.6558
Greece,1991,104006.3133
Greece,1990,103985.6865
Hungary,2021,64217.84139
Hungary,2020,62965.31726
Hungary,2019,64771.78799
Hungary,2018,65033.6368
Hungary,2017,65072.75783
Hungary,2016,62696.22138
Hungary,2015,62201.09364
Hungary,2014,58993.1402
Hungary,2013,58661.1095
Hungary,2012,61557.11703
Hungary,2011,64870.17196
Hungary,2010,66533.78636
Hungary,2009,65924.48205
Hungary,2008,71954.60418
Hungary,2007,74010.83484
Hungary,2006,75660.29299
Hungary,2005,76954.88407
Hungary,2004,77192.04976
Hungary,2003,78367.70403
Hungary,2002,75478.63172
Hungary,2001,77184.979
Hungary,2000,75378.31289
Hungary,1999,78248.02773
Hungary,1998,77784.48544
Hungary,1997,78308.28786
Hungary,1996,79804.29799
Hungary,1995,77647.68131
Hungary,1994,78750.64401
Hungary,1993,79865.04195
Hungary,1992,78847.27517
Hungary,1991,88674.84005
Hungary,1990,94985.0234
Iceland,2021,4662.239515
Iceland,2020,4521.059266
Iceland,2019,4723.898079
Iceland,2018,4870.413997
Iceland,2017,4799.699174
Iceland,2016,4715.537093
Iceland,2015,4772.708333
Iceland,2014,4687.515326
Iceland,2013,4694.672123
Iceland,2012,4686.900081
Iceland,2011,4692.247217
Iceland,2010,4906.351342
Iceland,2009,5001.50409
Iceland,2008,5307.800551
Iceland,2007,4924.318055
Iceland,2006,4619.418474
Iceland,2005,4059.339956
Iceland,2004,4210.917893
Iceland,2003,4106.869112
Iceland,2002,4143.911388
Iceland,2001,4049.734405
Iceland,2000,4154.228591
Iceland,1999,4123.132415
Iceland,1998,3907.363262
Iceland,1997,3774.46576
Iceland,1996,3615.808064
Iceland,1995,3554.690641
Iceland,1994,3424.410185
Iceland,1993,3496.415843
Iceland,1992,3409.11911
Iceland,1991,3475.789967
Iceland,1990,3682.044957
Ireland,2021,62109.86924
Ireland,2020,59056.30059
Ireland,2019,61165.03862
Ireland,2018,63734.10831
Ireland,2017,63424.53474
Ireland,2016,64005.35717
Ireland,2015,61724.02831
Ireland,2014,59220.74208
Ireland,2013,59711.60658
Ireland,2012,59939.50723
Ireland,2011,58852.52571
Ireland,2010,63032.16199
Ireland,2009,63528.25857
Ireland,2008,69330.43545
Ireland,2007,69874.86699
Ireland,2006,71019.4634
Ireland,2005,71531.47891
Ireland,2004,69723.02347
Ireland,2003,70468.49744
Ireland,2002,69975.20042
Ireland,2001,71814.45431
Ireland,2000,69712.38243
Ireland,1999,67523.40874
Ireland,1998,66292.45599
Ireland,1997,63683.61577
Ireland,1996,62245.16813
Ireland,1995,60080.65771
Ireland,1994,58593.62412
Ireland,1993,57186.82592
Ireland,1992,56589.55755
Ireland,1991,56553.4628
Ireland,1990,55642.836
Italy,2021,417591.4336
Italy,2020,384969.8769
Italy,2019,422276.173
Italy,2018,433630.9069
Italy,2017,437340.9789
Italy,2016,442962.2779
Italy,2015,445735.6505
Italy,2014,435399.3323
Italy,2013,456475.7243
Italy,2012,491949.9129
Italy,2011,510854.6123
Italy,2010,523465.6996
Italy,2009,511654.9935
Italy,2008,566242.9714
Italy,2007,578814.4759
Italy,2006,584053.072
Italy,2005,594197.3806
Italy,2004,592903.4235
Italy,2003,587247.8886
Italy,2002,567753.0808
Italy,2001,561839.954
Italy,2000,559978.1417
Italy,1999,556140.3786
Italy,1998,550585.9913
Italy,1997,538111.368
Italy,1996,530375.913
Italy,1995,535653.7085
Italy,1994,509371.3879
Italy,1993,515159.9649
Italy,1992,521991.348
Italy,1991,522696.6663
Italy,1990,521480.3377
Japan,2021,1168094.465
Japan,2020,1144932.497
Japan,2019,1207742.416
Japan,2018,1242715.707
Japan,2017,1286736.263
Japan,2016,1300146.773
Japan,2015,1317836.196
Japan,2014,1356511.022
Japan,2013,1405350.424
Japan,2012,1393594.156
Japan,2011,1350741.136
Japan,2010,1300046.748
Japan,2009,1246549.622
Japan,2008,1318507.415
Japan,2007,1391300.26
Japan,2006,1356080.247
Japan,2005,1377463.876
Japan,2004,1369829.3
Japan,2003,1378452.032
Japan,2002,1371613.877
Japan,2001,1347561.425
Japan,2000,1373303.42
Japan,1999,1353662.403
Japan,1998,1330304.187
Japan,1997,1378810.238
Japan,1996,1386747.603
Japan,1995,1373818.254
Japan,1994,1352429.761
Japan,1993,1291392.139
Japan,1992,1295612.02
Japan,1991,1283796.294
Japan,1990,1269334.028
Latvia,2021,10725.29203
Latvia,2020,10483.14288
Latvia,2019,11131.86516
Latvia,2018,11272.33037
Latvia,2017,10776.09872
Latvia,2016,10742.11327
Latvia,2015,10744.7872
Latvia,2014,10712.57649
Latvia,2013,10800.42514
Latvia,2012,10884.33341
Latvia,2011,11066.32051
Latvia,2010,11857.88342
Latvia,2009,10790.55534
Latvia,2008,11475.37833
Latvia,2007,11935.99426
Latvia,2006,11489.43034
Latvia,2005,11020.37391
Latvia,2004,10862.7122
Latvia,2003,10921.15698
Latvia,2002,10727.98561
Latvia,2001,10760.02518
Latvia,2000,10167.7821
Latvia,1999,10790.39796
Latvia,1998,11576.36529
Latvia,1997,12080.47145
Latvia,1996,12639.33368
Latvia,1995,12589.83187
Latvia,1994,13958.2963
Latvia,1993,15905.34813
Latvia,1992,19362.0248
Latvia,1991,24132.74194
Latvia,1990,26022.7044
Liechtenstein,2021,183.9042209
Liechtenstein,2020,180.871376
Liechtenstein,2019,188.3227396
Liechtenstein,2018,181.7097058
Liechtenstein,2017,193.9146645
Liechtenstein,2016,188.3067804
Liechtenstein,2015,198.6358514
Liechtenstein,2014,200.2537097
Liechtenstein,2013,231.3059919
Liechtenstein,2012,225.1522922
Liechtenstein,2011,215.9392305
Liechtenstein,2010,228.8285446
Liechtenstein,2009,243.8039097
Liechtenstein,2008,258.6034976
Liechtenstein,2007,238.9433049
Liechtenstein,2006,268.1670112
Liechtenstein,2005,264.5226027
Liechtenstein,2004,263.9525262
Liechtenstein,2003,263.7132736
Liechtenstein,2002,253.6127378
Liechtenstein,2001,247.2615636
Liechtenstein,2000,247.6296698
Liechtenstein,1999,257.0937184
Liechtenstein,1998,260.1817898
Liechtenstein,1997,249.2351821
Liechtenstein,1996,236.7333877
Liechtenstein,1995,234.413175
Liechtenstein,1994,230.6802941
Liechtenstein,1993,244.3527566
Liechtenstein,1992,237.3177633
Liechtenstein,1991,237.1733108
Liechtenstein,1990,229.6447878
Lithuania,2021,20251.51125
Lithuania,2020,20165.72638
Lithuania,2019,20244.63821
Lithuania,2018,20013.48327
Lithuania,2017,20344.84902
Lithuania,2016,20220.16665
Lithuania,2015,20155.05583
Lithuania,2014,19857.26429
Lithuania,2013,19954.61474
Lithuania,2012,21085.97556
Lithuania,2011,21104.5244
Lithuania,2010,20741.77032
Lithuania,2009,19826.1292
Lithuania,2008,23832.42396
Lithuania,2007,24730.03129
Lithuania,2006,22756.09941
Lithuania,2005,22439.79867
Lithuania,2004,21592.71784
Lithuania,2003,20792.92724
Lithuania,2002,20626.06969
Lithuania,2001,20266.17808
Lithuania,2000,19493.64581
Lithuania,1999,21098.26347
Lithuania,1998,23912.6936
Lithuania,1997,23021.51041
Lithuania,1996,23469.12016
Lithuania,1995,22486.03981
Lithuania,1994,23515.73716
Lithuania,1993,24901.78296
Lithuania,1992,31026.9271
Lithuania,1991,50100.69254
Lithuania,1990,48134.54251
Luxembourg,2021,9390.729934
Luxembourg,2020,9029.899172
Luxembourg,2019,10739.99295
Luxembourg,2018,10563.27585
Luxembourg,2017,10259.73624
Luxembourg,2016,10077.82342
Luxembourg,2015,10313.87492
Luxembourg,2014,10785.43599
Luxembourg,2013,11281.31055
Luxembourg,2012,11804.17442
Luxembourg,2011,12040.48031
Luxembourg,2010,12159.04506
Luxembourg,2009,11584.16343
Luxembourg,2008,12126.20827
Luxembourg,2007,12236.27206
Luxembourg,2006,12824.48292
Luxembourg,2005,12993.83408
Luxembourg,2004,12740.93302
Luxembourg,2003,11366.75673
Luxembourg,2002,10915.32438
Luxembourg,2001,10137.2613
Luxembourg,2000,9634.995703
Luxembourg,1999,9051.266283
Luxembourg,1998,8590.875716
Luxembourg,1997,9494.702777
Luxembourg,1996,10141.46777
Luxembourg,1995,10078.5239
Luxembourg,1994,12447.63038
Luxembourg,1993,13281.34988
Luxembourg,1992,13118.28707
Luxembourg,1991,13353.27727
Luxembourg,1990,12722.4119
Malta,2021,2133.618737
Malta,2020,2111.859117
Malta,2019,2149.925659
Malta,2018,2037.803103
Malta,2017,2028.382221
Malta,2016,1846.960467
Malta,2015,2129.16231
Malta,2014,2807.205756
Malta,2013,2799.150229
Malta,2012,3126.270859
Malta,2011,2961.056398
Malta,2010,2962.330086
Malta,2009,2885.261651
Malta,2008,3019.88817
Malta,2007,3139.828089
Malta,2006,3052.235112
Malta,2005,2997.663024
Malta,2004,3176.081827
Malta,2003,3269.041329
Malta,2002,3046.791927
Malta,2001,3025.987398
Malta,2000,2749.714453
Malta,1999,2845.108217
Malta,1998,2787.664654
Malta,1997,2813.488736
Malta,1996,2781.805592
Malta,1995,2691.063681
Malta,1994,2894.13379
Malta,1993,3115.805671
Malta,1992,2513.106518
Malta,1991,2480.068421
Malta,1990,2626.430777
Monaco,2021,73.6327619
Monaco,2020,69.76156958
Monaco,2019,83.00931293
Monaco,2018,86.66759096
Monaco,2017,83.33283989
Monaco,2016,86.42891011
Monaco,2015,88.21331011
Monaco,2014,85.19760474
Monaco,2013,91.12665738
Monaco,2012,89.13413754
Monaco,2011,86.29697024
Monaco,2010,87.75892091
Monaco,2009,90.14597456
Monaco,2008,93.80113198
Monaco,2007,93.12224002
Monaco,2006,93.30133432
Monaco,2005,97.74010053
Monaco,2004,98.85623311
Monaco,2003,104.0877026
Monaco,2002,107.1050878
Monaco,2001,106.7304702
Monaco,2000,106.288902
Monaco,1999,108.1566237
Monaco,1998,106.9475308
Monaco,1997,107.852876
Monaco,1996,109.229332
Monaco,1995,105.4366383
Monaco,1994,108.8026971
Monaco,1993,108.1079579
Monaco,1992,108.9565254
Monaco,1991,103.3119596
Monaco,1990,102.4595619
Netherlands,2021,167153.2451
Netherlands,2020,164367.7932
Netherlands,2019,180936.8651
Netherlands,2018,186759.6325
Netherlands,2017,191991.1656
Netherlands,2016,194644.4879
Netherlands,2015,194015.9138
Netherlands,2014,187053.5812
Netherlands,2013,195278.0217
Netherlands,2012,195581.7515
Netherlands,2011,199922.9241
Netherlands,2010,214236.637
Netherlands,2009,202300.723
Netherlands,2008,207941.4098
Netherlands,2007,208077.8533
Netherlands,2006,209523.7645
Netherlands,2005,214666.9478
Netherlands,2004,220478.999
Netherlands,2003,218993.8306
Netherlands,2002,218256.5348
Netherlands,2001,220583.203
Netherlands,2000,219454.9203
Netherlands,1999,221071.1157
Netherlands,1998,233540.1574
Netherlands,1997,233328.501
Netherlands,1996,241662.0941
Netherlands,1995,231305.5697
Netherlands,1994,231199.857
Netherlands,1993,230464.2534
Netherlands,1992,230151.1042
Netherlands,1991,229711.9885
Netherlands,1990,221781.0354
New Zealand,2021,76824.58718
New Zealand,2020,77330.66087
New Zealand,2019,79989.79347
New Zealand,2018,78776.30119
New Zealand,2017,78511.40044
New Zealand,2016,76930.22399
New Zealand,2015,79036.98895
New Zealand,2014,79212.62523
New Zealand,2013,78430.00614
New Zealand,2012,79086.91351
New Zealand,2011,77106.14783
New Zealand,2010,77328.0227
New Zealand,2009,76647.31038
New Zealand,2008,79350.40307
New Zealand,2007,79673.33249
New Zealand,2006,81773.36223
New Zealand,2005,81752.17601
New Zealand,2004,79669.24177
New Zealand,2003,79827.39168
New Zealand,2002,77682.44084
New Zealand,2001,77755.79045
New Zealand,2000,74850.47247
New Zealand,1999,72975.47199
New Zealand,1998,71186.8725
New Zealand,1997,73381.51698
New Zealand,1996,70551.54181
New Zealand,1995,68394.69625
New Zealand,1994,67859.23208
New Zealand,1993,66693.8261
New Zealand,1992,66834.98229
New Zealand,1991,65688.43175
New Zealand,1990,64720.07145
Norway,2021,48901.95533
Norway,2020,49214.6354
Norway,2019,50958.21852
Norway,2018,52702.96885
Norway,2017,52678.81449
Norway,2016,53447.03481
Norway,2015,54362.81632
Norway,2014,53906.69641
Norway,2013,53615.08381
Norway,2012,53380.66656
Norway,2011,53999.14698
Norway,2010,54925.06077
Norway,2009,52541.05943
Norway,2008,54881.82108
Norway,2007,56272.86623
Norway,2006,54568.93701
Norway,2005,54471.72346
Norway,2004,55427.97681
Norway,2003,54947.55095
Norway,2002,54172.91288
Norway,2001,55298.61771
Norway,2000,54074.1587
Norway,1999,54741.37376
Norway,1998,53765.44457
Norway,1997,53693.41397
Norway,1996,53717.33923
Norway,1995,50834.45941
Norway,1994,50502.10654
Norway,1993,48598.68472
Norway,1992,46706.76713
Norway,1991,48339.03937
Norway,1990,50712.44626
Poland,2021,399438.489
Poland,2020,371312.4329
Poland,2019,386386.3634
Poland,2018,409003.9479
Poland,2017,409003.1754
Poland,2016,394315.2692
Poland,2015,383395.3303
Poland,2014,381064.7176
Poland,2013,393881.5385
Poland,2012,397900.7348
Poland,2011,405798.7573
Poland,2010,407236.9608
Poland,2009,389826.8164
Poland,2008,407857.1785
